id,epic,title_th,title_en,priority,phase,group,legal_ref,actors,be_size,fe_size,ux,be_days,fe_days,sa_days,ux_days,qa_days,depends_on,processes,module_doc,acceptance_criteria,status
PLT-21,PLT,ค้นหาข้ามระบบ,Global search,Should,P3,PLT,,EMP,M,S,N,5,3,1.0,0,2.8,IAM-02,,docs/modules/PLT.md#plt-21,ผลค้นหาไม่แสดงข้อมูลที่ผู้ใช้ไม่มีสิทธิ์,todo
PLT-22,PLT,AI gateway,AI gateway,Nice,P4,PLT,,ORGADMIN LLM,M,S,N,5,3,1.0,0,2.8,PLT-13,,docs/modules/PLT.md#plt-22,เมื่อเปิดโหมดปกปิด ไม่มีข้อมูลระบุตัวตนถูกส่งออกนอกระบบ; ผลจาก AI ต้องมีคนยืนยันก่อนบันทึก,todo
IAM-01,IAM,Identity provider และ login flow,Identity provider & login flow,Must,P0,IAM,,EMP IDP,L,M,Y,10,5,1.8,2.0,5.2,"PLT-01, PLT-02",BP-12,docs/modules/IAM.md#iam-01,token ไม่ถูกเปิดเผยใน JavaScript ฝั่ง browser; logout แล้ว session ทุกแท็บสิ้นสุด,todo
IAM-02,IAM,Permission engine (RBAC + data scope),Authorization engine,Must,P0,IAM,,EMP APICLIENT,L,M,N,10,5,1.8,0,5.2,IAM-01,BP-12,docs/modules/IAM.md#iam-02,เรียก API ที่ไม่มีสิทธิ์ได้ 403 ทุก endpoint (contract test สร้างจาก OpenAPI),todo
IAM-03,IAM,Console ผู้ให้บริการ: tenant และแพ็กเกจ,Tenant & subscription admin,Must,P0,IAM,,SUPER,M,M,Y,5,5,1.2,2.0,3.5,PLT-02,BP-12,docs/modules/IAM.md#iam-03,ปิดโมดูลที่ไม่ได้ซื้อแล้วเมนูและ API ของโมดูลนั้นใช้ไม่ได้,todo
ORG-09,IAM,จัดการผู้ใช้,User management,Must,P0,ผู้ใช้และสิทธิ์,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,ORGADMIN,M,M,Y,5,5,1.2,2.0,3.5,"IAM-01, PLT-14",BP-12,docs/modules/IAM.md#org-09,ปิดบัญชีแล้ว session ถูกตัดภายใน 1 นาที และทุกการเปลี่ยนแปลงถูกบันทึก audit,todo
ORG-10,IAM,Role และ Permission,Roles & permissions,Must,P0,ผู้ใช้และสิทธิ์,ประกาศมาตรการความปลอดภัย พ.ศ. 2565 (การควบคุมการเข้าถึง),ORGADMIN,M,M,Y,5,5,1.2,2.0,3.5,IAM-02,BP-12,docs/modules/IAM.md#org-10,สร้างหรือแก้ role แล้วสิทธิ์มีผลทันทีโดยไม่ต้อง deploy,todo
ORG-11,IAM,ขอบเขตข้อมูลตามหน่วยงาน,Data scope,Must,P0,ผู้ใช้และสิทธิ์,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,ORGADMIN,L,S,N,10,3,1.6,0,4.5,"IAM-02, ORG-04",BP-12,docs/modules/IAM.md#org-11,ผู้ใช้แผนก A เห็นเฉพาะข้อมูลแผนก A ทุก API (automated test),todo
ORG-14,IAM,Login นโยบายรหัสผ่าน และ MFA,Authentication & MFA,Must,P0,ความปลอดภัย,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,EMP IDP,M,S,Y,5,3,1.0,1.2,2.8,IAM-01,BP-12,docs/modules/IAM.md#org-14,ผิดครบจำนวนแล้วบัญชีถูกล็อกตามเวลาที่ตั้ง; role ที่บังคับ MFA เข้าไม่ได้ถ้าไม่ผ่าน MFA,todo
ORG-16,IAM,API Client และ Service account,API credentials,Must,P0,ความปลอดภัย,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,ORGADMIN APICLIENT,M,S,N,5,3,1.0,0,2.8,IAM-02,BP-12,docs/modules/IAM.md#org-16,client เรียกได้เฉพาะ scope ที่ได้รับ และจาก IP ที่อนุญาตเท่านั้น,todo
ORG-19,IAM,Audit log,Audit log,Must,P0,ความปลอดภัย,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,SEC,S,M,Y,3,5,1.0,2.0,2.8,PLT-12,BP-12,docs/modules/IAM.md#org-19,ตรวจได้ว่าใครเปลี่ยนสิทธิ์ของใคร เมื่อไร และส่งออกได้,done
IAM-04,IAM,สิทธิ์ผู้ใช้ภายนอก (guest),External guest access,Must,P1,IAM,,GUEST,M,S,N,5,3,1.0,0,2.8,IAM-02,BP-12,docs/modules/IAM.md#iam-04,ลิงก์ใช้ได้เฉพาะงานที่เชิญ หมดอายุตามที่ตั้ง และเพิกถอนแล้วใช้ไม่ได้ทันที,todo
IAM-05,IAM,บริการยืนยันตัวตนเจ้าของข้อมูล,Data subject verification service,Must,P1,IAM,,DS,M,S,N,5,3,1.0,0,2.8,PLT-04,BP-12,docs/modules/IAM.md#iam-05,OTP หมดอายุใน 5 นาที จำกัดจำนวนครั้ง และบันทึกผลการยืนยันทุกครั้ง,todo
ORG-12,IAM,กลุ่มผู้ใช้และทีม,User groups & teams,Should,P1,ผู้ใช้และสิทธิ์,แนวปฏิบัติตลาด,ORGADMIN,S,S,N,3,3,0.7,0,2.1,ORG-09,BP-12,docs/modules/IAM.md#org-12,มอบหมายงานให้กลุ่มแล้วสมาชิกทุกคนเห็นงาน,todo
ORG-13,IAM,โปรไฟล์และการตั้งค่าส่วนตัว,User profile,Should,P1,ผู้ใช้และสิทธิ์,แนวปฏิบัติตลาด,EMP,S,S,N,3,3,0.7,0,2.1,ORG-09,BP-12,docs/modules/IAM.md#org-13,ผู้ใช้แก้ข้อมูลของตนได้โดยไม่ต้องขอผู้ดูแล,todo
ORG-15,IAM,Single Sign-On และ ThaID,SSO & ThaID,Should,P1,ความปลอดภัย,แนวปฏิบัติตลาด,EMP IDP,M,S,N,5,3,1.0,0,2.8,IAM-01,BP-12,docs/modules/IAM.md#org-15,ผู้ใช้ Entra ID เข้าระบบได้และได้ role ตาม group; login ด้วย ThaID ผูกกับบัญชีเดิมได้,todo
ORG-17,IAM,ปกปิดข้อมูลส่วนบุคคลบนหน้าจอ,PII masking,Should,P1,ความปลอดภัย,ม.37(1),EMP SEC,M,S,N,5,3,1.0,0,2.8,"IAM-02, PLT-13",BP-12,docs/modules/IAM.md#org-17,ผู้ไม่มีสิทธิ์ไม่ได้รับค่าจริงจาก API และการ unmask ทุกครั้งมี log,todo
IAM-06,IAM,Maker-checker สำหรับงานผู้ดูแลระบบ,Dual control for sensitive admin actions,Should,P3,IAM,,ORGADMIN SEC,S,S,N,3,3,0.7,0,2.1,PLT-08,BP-12,docs/modules/IAM.md#iam-06,ผู้ขอกับผู้อนุมัติต้องต่างคน และ action ไม่มีผลจนกว่าจะอนุมัติ,todo
IAM-07,IAM,Break-glass และสิทธิ์ระดับสูง,Break-glass & privileged access,Should,P3,IAM,,SUPER SEC,S,S,N,3,3,0.7,0,2.1,IAM-02,BP-12,docs/modules/IAM.md#iam-07,ใช้ break-glass แล้ว DPO และ Security ได้รับแจ้งทันที และสิทธิ์หมดเมื่อครบเวลา,todo
IAM-08,IAM,จัดการ session และแจ้งเตือนความปลอดภัย,Session management & security alerts,Should,P3,IAM,,ORGADMIN EMP,S,S,N,3,3,0.7,0,2.1,IAM-01,BP-12,docs/modules/IAM.md#iam-08,ผู้ดูแลบังคับ logout ผู้ใช้ได้ทันที,todo
IAM-09,IAM,SCIM 2.0 provisioning,SCIM user & group provisioning,Should,P3,IAM,,DIR,M,-,N,5,0,0.6,0,1.8,ORG-15,BP-12,docs/modules/IAM.md#iam-09,ปิดบัญชีใน directory แล้วบัญชีในระบบถูกปิดอัตโนมัติ,todo
ORG-18,IAM,ทบทวนสิทธิ์ตามรอบ,Access review,Should,P3,ความปลอดภัย,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,ORGADMIN MANAGER,M,M,Y,5,5,1.2,2.0,3.5,"PLT-05, ORG-10",BP-12,docs/modules/IAM.md#org-18,สิทธิ์ที่ไม่ได้รับการยืนยันถูกถอนตามนโยบาย และมีรายงานสรุปรอบ,todo
IAM-10,IAM,สิทธิ์ชั่วคราวและมอบอำนาจ,Delegation & time-bound access,Nice,P4,IAM,,EMP ORGADMIN,S,S,N,3,3,0.7,0,2.1,ORG-10,BP-12,docs/modules/IAM.md#iam-10,สิทธิ์หมดอายุอัตโนมัติตามเวลาที่ตั้ง,todo
ORG-01,ORG,ข้อมูลหน่วยงาน / นิติบุคคล,Organization profile,Must,P0,ข้อมูลองค์กร,"ม.23(5), ม.39(3)",ORGADMIN,S,S,Y,3,3,0.7,1.2,2.1,PLT-02,,docs/modules/ORG.md#org-01,ข้อมูลองค์กรแสดงถูกต้องในประกาศและเอกสารที่สร้าง,done
ORG-02,ORG,หลายนิติบุคคลและบริษัทในเครือ,Multi-entity / group,Should,P0,ข้อมูลองค์กร,ม.41 วรรคสอง,ORGADMIN,M,S,N,5,3,1.0,0,2.8,ORG-04,,docs/modules/ORG.md#org-02,ผู้ใช้ของบริษัท A ไม่เห็นข้อมูลบริษัท B ถ้าไม่ได้รับ scope,todo
ORG-04,ORG,โครงสร้างหน่วยงานแบบลำดับชั้น,Organization hierarchy,Must,P0,โครงสร้าง,แนวปฏิบัติตลาด,ORGADMIN,M,M,Y,5,5,1.2,2.0,3.5,ORG-01,,docs/modules/ORG.md#org-04,ย้ายแผนกแล้ว scope ของผู้ใช้และข้อมูลปรับตามทันที,done
ORG-07,ORG,ข้อมูลตั้งต้นกลาง (Master data),Master data,Must,P0,ข้อมูลตั้งต้น,"ม.24, ม.26",DPO SUPER,M,M,N,5,5,1.2,0,3.5,ORG-01,,docs/modules/ORG.md#org-07,แก้ที่เดียวมีผลทุกโมดูล และ tenant ใหม่ได้ชุดค่าเริ่มต้นครบ,done
ORG-20,ORG,ตั้งค่าองค์กร,Organization settings,Should,P0,ตั้งค่า,แนวปฏิบัติตลาด,ORGADMIN,S,M,Y,3,5,1.0,2.0,2.8,PLT-02,,docs/modules/ORG.md#org-20,SLA ของทุกโมดูลนับตามปฏิทินของ tenant,done
ORG-06,ORG,ทะเบียนหน่วยงานภายนอก,External parties directory,Must,P1,โครงสร้าง,"ม.39, ม.40",DPO PROC,M,M,Y,5,5,1.2,2.0,3.5,ORG-01,,docs/modules/ORG.md#org-06,หน่วยงานภายนอกหนึ่งรายมี record เดียวที่ทุกโมดูลอ้างถึง,todo
ORG-05,ORG,ผู้ประสานงาน PDPA ประจำหน่วยงาน,Privacy champions,Should,P3,โครงสร้าง,แนวปฏิบัติตลาด,ORGADMIN DPO,S,S,N,3,3,0.7,0,2.1,"ORG-04, ORG-12",,docs/modules/ORG.md#org-05,งานของแผนกถูกส่งถึงผู้ประสานงานอัตโนมัติ,todo
ORG-08,ORG,นำเข้าและส่งออกข้อมูลตั้งต้น,Master data import/export,Should,P3,ข้อมูลตั้งต้น,แนวปฏิบัติตลาด,DPO,XS,S,N,1,3,0.5,0,1.4,"PLT-14, ORG-07",,docs/modules/ORG.md#org-08,นำเข้าแล้วรายการซ้ำถูกตรวจพบก่อนบันทึก,todo
ORG-21,ORG,เลือกที่เก็บข้อมูลและรูปแบบติดตั้ง,Data residency & deployment,Should,P3,ตั้งค่า,แนวปฏิบัติตลาด,SUPER,M,S,N,5,3,1.0,0,2.8,T41,,docs/modules/ORG.md#org-21,ติดตั้ง on-prem ด้วย Helm ได้ตามคู่มือ และข้อมูลทั้งหมดอยู่ใน environment ของลูกค้า,todo
ORG-03,ORG,ผู้แทนในประเทศไทย,Local representative,Nice,P4,ข้อมูลองค์กร,ม.37(5),ORGADMIN,XS,XS,N,1,1,0.2,0,0.7,ORG-01,,docs/modules/ORG.md#org-03,ประกาศแสดงข้อมูลผู้แทนเมื่อกำหนดไว้,todo
CON-01,CON,แบนเนอร์คุกกี้บนเว็บไซต์,Cookie consent banner,Must,P1,คุกกี้,"ม.19, ม.23",DS WEB,M,XL,Y,5,20,3.0,8.0,8.8,"PLT-17, PLT-11",BP-03,docs/modules/CON.md#con-01,ไม่มีช่องติ๊กล่วงหน้า; ปฏิเสธทั้งหมดได้ในคลิกเดียว; ขนาด SDK ไม่เกิน 30 KB gzip,todo
CON-02,CON,ตั้งค่าคุกกี้รายหมวด,Granular cookie preferences,Must,P1,คุกกี้,ม.19,DS,S,M,Y,3,5,1.0,2.0,2.8,CON-01,BP-03,docs/modules/CON.md#con-02,เปิด/ปิดรายหมวดแล้วมีผลทันทีกับสคริปต์ในหมวดนั้น,todo
CON-03,CON,บล็อกสคริปต์ก่อนได้รับความยินยอม,Prior blocking,Must,P1,คุกกี้,ม.19,WEB IT,S,L,N,3,10,1.6,0,4.5,CON-02,BP-03,docs/modules/CON.md#con-03,ก่อนยินยอมไม่มีคุกกี้ Analytics / Marketing ถูกตั้ง (Playwright test บนเว็บตัวอย่าง),todo
CON-04,CON,สแกนและจัดหมวดคุกกี้อัตโนมัติ,Cookie scanner,Should,P1,คุกกี้,ม.23,IT SCHED,L,M,Y,10,5,1.8,2.0,5.2,PLT-10,BP-03,docs/modules/CON.md#con-04,สแกนเว็บ 200 หน้าเสร็จภายใน 30 นาที และคุกกี้ใหม่ถูกแจ้งเตือน,todo
CON-06,CON,ปรับแต่งดีไซน์และหลายภาษา,Branding & multi-language,Should,P1,คุกกี้,แนวปฏิบัติตลาด,MKT,S,M,Y,3,5,1.0,2.0,2.8,CON-01,BP-03,docs/modules/CON.md#con-06,เปลี่ยนดีไซน์แล้วเห็นผลใน preview และบนเว็บหลัง publish,todo
CON-09,CON,แบบฟอร์มขอความยินยอม (Collection Point),Consent form builder,Must,P1,ความยินยอม,ม.19 วรรคสาม-สี่,MKT DPO,M,M,Y,5,5,1.2,2.0,3.5,"PLT-06, CON-12",BP-01,docs/modules/CON.md#con-09,ฟอร์มที่ publish แล้วรับความยินยอมแยกรายวัตถุประสงค์และออก receipt ทุกครั้ง,done
CON-10,CON,ความยินยอมโดยชัดแจ้งสำหรับข้อมูลอ่อนไหว,Explicit consent for sensitive data,Must,P1,ความยินยอม,ม.26,DPO,S,S,N,3,3,0.7,0,2.1,"CON-09, ORG-07",BP-01,docs/modules/CON.md#con-10,publish ไม่ได้ถ้า Purpose ข้อมูลอ่อนไหวไม่มีช่องยินยอมแยก,done
CON-11,CON,ความยินยอมผู้เยาว์และผู้ปกครอง,Minor / guardian consent,Must,P1,ความยินยอม,ม.20,DS GUARD,M,M,Y,5,5,1.2,2.0,3.5,"CON-09, IAM-05",BP-01,docs/modules/CON.md#con-11,ความยินยอมที่ต้องได้จากผู้ปกครองมีผลเมื่อผู้ปกครองยืนยันแล้วเท่านั้น,todo
CON-12,CON,เวอร์ชันข้อความยินยอม,Consent versioning,Must,P1,ความยินยอม,"ม.19, ม.21",DPO,M,S,N,5,3,1.0,0,2.8,PLT-08,,docs/modules/CON.md#con-12,ย้อนดูได้ว่าแต่ละคนยินยอมข้อความเวอร์ชันใด,done
CON-13,CON,ถอนความยินยอม,Consent withdrawal,Must,P1,ความยินยอม,ม.19 วรรคห้า,DS EXT,M,S,N,5,3,1.0,0,2.8,"CON-15, PLT-11",BP-02,docs/modules/CON.md#con-13,ถอนแล้วสถานะเปลี่ยนทันทีและระบบปลายทางได้รับ event ภายใน 1 นาที,in_progress
CON-14,CON,เก็บความยินยอมหลายช่องทาง,Omni-channel capture,Must,P1,ความยินยอม,ม.19,FRONT EXT,M,M,Y,5,5,1.2,2.0,3.5,"CON-16, IAM-02",BP-01,docs/modules/CON.md#con-14,ทุกช่องทางได้ receipt รูปแบบเดียวกันและระบุช่องทาง / ผู้บันทึก,todo
CON-15,CON,หลักฐานความยินยอม (Receipt),Consent receipt & log,Must,P1,ความยินยอม,ม.19,DS DPO,L,S,N,10,3,1.6,0,4.5,"PLT-13, PLT-12",BP-01,docs/modules/CON.md#con-15,แก้หรือลบ transaction ไม่ได้ และตรวจย้อนหลังได้ว่าความยินยอมมาจากเวอร์ชันและช่องทางใด,done
CON-16,CON,REST API และ Webhook,Consent API & webhook,Must,P1,ความยินยอม,แนวปฏิบัติตลาด,EXT,L,S,N,10,3,1.6,0,4.5,"PLT-15, ORG-16",BP-01,docs/modules/CON.md#con-16,ผ่าน load test ตามเป้า TPS ที่ตกลง (T22) และ p95 ต่ำกว่า 200 ms,todo
CON-17,CON,ความปลอดภัยและที่เก็บข้อมูล,Security & data residency,Must,P1,ความยินยอม,ประกาศมาตรการความปลอดภัย พ.ศ. 2565,IT,S,XS,N,3,1,0.5,0,1.4,PLT-13,,docs/modules/CON.md#con-17,ผลทดสอบยืนยันว่าข้อมูลความยินยอมเข้ารหัสและอยู่ใน region ที่กำหนด,in_progress
CON-18,CON,ศูนย์ตั้งค่าความเป็นส่วนตัว,Preference center,Should,P1,ความยินยอม,ม.19,DS,M,M,Y,5,5,1.2,2.0,3.5,"IAM-05, PLT-17",BP-02,docs/modules/CON.md#con-18,เจ้าของข้อมูลแก้ทางเลือกได้เองและได้ receipt ทุกครั้ง,todo
CON-19,CON,ยืนยันตัวตนก่อนบันทึก,Identity verification,Should,P1,ความยินยอม,แนวปฏิบัติตลาด,DS,S,S,N,3,3,0.7,0,2.1,IAM-05,BP-02,docs/modules/CON.md#con-19,collection point ที่บังคับ OTP บันทึกได้เมื่อยืนยันผ่านเท่านั้น,todo
CON-21,CON,ค้นหา แดชบอร์ด และส่งออก,"Search, dashboard & export",Should,P1,ความยินยอม,ม.39,DPO MKT EXT,M,M,Y,5,5,1.2,2.0,3.5,PLT-18,BP-02,docs/modules/CON.md#con-21,ค้นหาด้วยอีเมลหรือเบอร์ได้โดยไม่ต้องถอดรหัสทั้งตาราง และรายงาน reconcile แสดงรายการที่ไม่ตรง,todo
CON-22,CON,นำเข้าความยินยอมเดิม,Bulk import,Should,P1,ความยินยอม,แนวปฏิบัติตลาด,IT,M,S,N,5,3,1.0,0,2.8,"PLT-14, CON-15",,docs/modules/CON.md#con-22,ข้อมูลจากระบบ Consent เดิมนำเข้าครบและ reconcile ยอดตรง,todo
CON-05,CON,นโยบายคุกกี้อัตโนมัติ,Auto cookie policy,Should,P3,คุกกี้,ม.23,DPO,S,S,N,3,3,0.7,0,2.1,CON-04,BP-03,docs/modules/CON.md#con-05,ตารางในหน้า Cookie Policy ตรงกับผลสแกนล่าสุด,todo
CON-07,CON,หลายโดเมนและ Mobile SDK,Multi-domain & mobile SDK,Should,P3,คุกกี้,แนวปฏิบัติตลาดไทย,IT,M,L,N,5,10,1.8,0,5.2,CON-16,BP-03,docs/modules/CON.md#con-07,แอปตัวอย่างบันทึกและอ่านสถานะความยินยอมผ่าน SDK ได้,todo
CON-20,CON,วันหมดอายุและต่ออายุ,Consent expiry & renewal,Should,P3,ความยินยอม,แนวปฏิบัติตลาด,SCHED DS,M,S,N,5,3,1.0,0,2.8,PLT-10,BP-02,docs/modules/CON.md#con-20,ความยินยอมที่ครบอายุเปลี่ยนสถานะอัตโนมัติและระบบปลายทางได้รับ event,todo
CON-23,CON,Double Opt-In,Double opt-in,Should,P3,ความยินยอม,แนวปฏิบัติตลาด,DS,S,S,N,3,3,0.7,0,2.1,IAM-05,BP-01,docs/modules/CON.md#con-23,ความยินยอมมีผลหลังยืนยันเท่านั้น,todo
CON-24,CON,ส่งคำขอความยินยอมแบบ Bulk,Bulk consent request campaign,Should,P3,ความยินยอม,แนวปฏิบัติตลาด,MKT DS,M,M,Y,5,5,1.2,2.0,3.5,"PLT-04, CON-18",,docs/modules/CON.md#con-24,แคมเปญแสดงจำนวนส่ง / เปิด / ตอบ และส่งซ้ำเฉพาะผู้ยังไม่ตอบได้,todo
CON-08,CON,A/B testing และวัด consent rate,Banner A/B testing,Nice,P4,คุกกี้,แนวโน้มตลาด,MKT,M,M,Y,5,5,1.2,2.0,3.5,"CON-01, PLT-18",BP-03,docs/modules/CON.md#con-08,ผลการทดลองแสดงอัตรายินยอมต่อ variant พร้อมจำนวนตัวอย่าง,todo
PNG-01,PNG,สร้างประกาศแบบถาม-ตอบ,Wizard-based generator,Must,P1,สร้าง,ม.23,LEGAL,M,L,Y,5,10,1.8,4.0,5.2,"PLT-16, ORG-07",BP-04,docs/modules/PNG.md#png-01,ผู้ใช้ที่ไม่มีพื้นฐานกฎหมายสร้างร่างประกาศครบหัวข้อได้ภายใน 30 นาที,todo
PNG-02,PNG,ตรวจเนื้อหาครบตาม ม.23,Mandatory content checklist,Must,P1,สร้าง,ม.23 (1)-(6),LEGAL,S,S,N,3,3,0.7,0,2.1,PNG-01,BP-04,docs/modules/PNG.md#png-02,ประกาศที่ขาดหัวข้อบังคับ publish ไม่ได้,todo
PNG-03,PNG,แม่แบบตามกลุ่มเจ้าของข้อมูล,Templates by data subject,Must,P1,สร้าง,แนวปฏิบัติตลาดไทย,LEGAL,S,S,N,3,3,0.7,0,2.1,"PNG-01, T15",BP-04,docs/modules/PNG.md#png-03,เลือก template แล้วได้ร่างประกาศของกลุ่มนั้นทันที,todo
PNG-04,PNG,ประกาศกรณีเก็บจากแหล่งอื่น,Indirect collection notice,Must,P1,สร้าง,ม.25,OWNER SCHED DS,M,S,N,5,3,1.0,0,2.8,"PLT-05, PLT-04",BP-04,docs/modules/PNG.md#png-04,ระบบเตือนก่อนครบ 30 วัน และปิดรายการได้เมื่อมีหลักฐานการแจ้ง,todo
